Name,Ticker,"Sub-Sector","Market Cap","Close Price","RSI – 14D","% Away From 52W High",,
Kajaria Ceramics Ltd,KAJARIACER,"Building Products - Ceramics","19259.452208","1255","48.936170212766","4.3585657370518005",,
Finolex Cables Limited,FINCABLES,"Cables","18472.778785825","1319","75.9097623203975","4.169825625473833",,
Aarti Industries Ltd,AARTIIND,"Specialty Chemicals","18328.57989835","525.5","55.0404312668464","3.0827783063748893",,
Elgi Equipments Ltd,ELGIEQUIP,"Industrial Machinery","18097.11206735","625","44.6844798180784","1.415999999999995",,
TBO Tek Limited,TBOTEK,"Tour & Travel Services","17531.87359119","1700","67.8976080570709","3.811764705882359",,
Jindal SAW Ltd,JINDALSAW,"Building Products - Pipes","17448.712356565","270.65","57.5949367088608","3.824127101422503",,
Leela Palaces Hotels & Resorts Limited,THELEELA,"Hotels, Resorts & Cruise Lines","17106.99230055","504","61.2407211028632","4.5634920634920695",,
Vijaya Diagnostic Centre Limited,VIJAYA,"Hospitals & Diagnostic Centres","14710.1336563","1510.1","72.3842862699339","4.165287067081658",,
Ramkrishna Forgings Ltd,RKFORGE,"Rail","13660.165343205","753.55","88.8864290458269","1.3204166943135975",,
Balrampur Chini Mills Ltd,BALRAMCHIN,"Sugar","13275.905416919999","654.5","50.7665242523247","1.680672268907557",,
HEG Ltd,HEG,"Electrical Components & Equipments","13088.70097225","697.5","76.7881241565452","1.9641577060931947",,
Gravita India Ltd,GRAVITA,"Metals - Lead","12997.69109155","1823.4","49.1467576791809","4.946802676318951",,
Action Construction Equipment Ltd,ACE,"Heavy Machinery","12775.26321904","1117","59.2094196804037","4.7448522829006246",,
PVR INOX Ltd,PVRINOX,"Theatres","11393.159591239999","1195.1","78.3167145512929","4.568655342649164",,
